notes,test_notes,product_url,part_number,product_grade,product_modifier,application,vehicle_id,short_description,price,bolt_pattern,recommended_wheel_size,wheel_fitment_pn,recommended_tire_size,tire_fitment_pn
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-k4241m/,K4241M,base,plus,FORD F250-F350 11-16,"155583,155584,155587,155588,190543,190545,190547,190549,190551,190553,190555,190555,193630,193631,193634,193636,193637,193638,206985,206986,206988,211007,211008,211011,211012,211013,211014,211015,211016,228770,228773,228776,155588,190543,190545,193631,193634,193635,193638,193645,206983,206984,206987,206987,206988,206991,211008,211009,211012,211014,211015,211016,228769,228772,228777,228778,155583,155585,155587,155589,155590,190547,190549,190551,190553,190557,193630,193632,193633,193636,193637,193645,206982,206985,206986,206992,206993,206993,211009,211010,228771,228774,228775,228776,228778,155584,155585,155586,155586,155589,155590,190557,193632,193633,193635,206982,206983,206984,206991,206992,211007,211010,211011,211013,228769,228770,228771,228772,228773,228774,228775,228777,"," 2.5""/ 0""  System with PRO-M Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,486.92 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,,K4245M,base,,FORD F250-F350 11-16,"155583,155584,155587,155588,190543,190545,190547,190549,190551,190553,190555,190555,193630,193631,193634,193636,193637,193638,206985,206986,206988,211007,211008,211011,211012,211013,211014,211015,211016,228770,228773,228776,155588,190543,190545,193631,193634,193635,193638,193645,206983,206984,206987,206987,206988,206991,211008,211009,211012,211014,211015,211016,228769,228772,228777,228778,155583,155585,155587,155589,155590,190547,190549,190551,190553,190557,193630,193632,193633,193636,193637,193645,206982,206985,206986,206992,206993,206993,211009,211010,228771,228774,228775,228776,228778,155584,155585,155586,155586,155589,155590,190557,193632,193633,193635,206982,206983,206984,206991,206992,211007,211010,211011,211013,228769,228770,228771,228772,228773,228774,228775,228777,"," 3.5""/ 3.25""  System with PRO-M Shocks"," $	1,159.95 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-shocks-k4241bx/,K4241BX,pro,,FORD F250-F350 11-16,"155583,155584,155587,155588,190543,190545,190547,190549,190551,190553,190555,190555,193630,193631,193634,193636,193637,193638,206985,206986,206988,211007,211008,211011,211012,211013,211014,211015,211016,228770,228773,228776,155588,190543,190545,193631,193634,193635,193638,193645,206983,206984,206987,206987,206988,206991,211008,211009,211012,211014,211015,211016,228769,228772,228777,228778,155583,155585,155587,155589,155590,190547,190549,190551,190553,190557,193630,193632,193633,193636,193637,193645,206982,206985,206986,206992,206993,206993,211009,211010,228771,228774,228775,228776,228778,155584,155585,155586,155586,155589,155590,190557,193632,193633,193635,206982,206983,206984,206991,206992,211007,211010,211011,211013,228769,228770,228771,228772,228773,228774,228775,228777,"," 2.5""/ 0""  System with PRO-VST 2.5"" Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,926.94 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,,K4242M,base,plus,FORD F250-F350 17-22,"240535,240536,240537,240538,240539,240540,240542,248552,248554,248555,248547,248549,255879,255880,255881,255882,255884,255885,255888,260605,260607,260608,260609,260612,260616,271448,271450,271451,271444,286014,286014,286747,286747,286748,286748,286015,286741,286744,286745,240535,240536,240541,240542,240543,240544,248551,248552,248555,251599,248546,248547,248548,248550,248550,251600,255879,255881,255882,255883,255883,255885,255886,255886,255889,255890,260605,260607,260608,260610,260612,260613,260614,260615,260616,271255,271448,271449,271451,271452,271256,271444,271446,271447,286746,286747,286750,286015,286015,286742,286743,240540,240541,240544,248553,248554,248546,248549,255880,260605,260606,260607,260609,260611,260612,260615,260616,271255,271448,271449,271451,271452,271452,271256,271443,271445,271446,271447,286014,286746,286748,286750,286742,286745,240537,240538,240539,240543,248551,248553,248548,255887,255887,255888,255890,260608,260609,260610,260610,260613,260613,260614,260614,260615,271255,271449,271256,271443,271443,271444,271446,271447,286746,286749,286750,286741,286741,286742,286743,286743,286745,"," 2.5""/ 0""  System with PRO-M Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,554.92 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-k4246m/,K4246M,base,,FORD F250-F350 17-22,"240535,240536,240537,240538,240539,240540,240542,248552,248554,248555,248547,248549,255879,255880,255881,255882,255884,255885,255888,260605,260607,260608,260609,260612,260616,271448,271450,271451,271444,286014,286014,286747,286747,286748,286748,286015,286741,286744,286745,240535,240536,240541,240542,240543,240544,248551,248552,248555,251599,248546,248547,248548,248550,248550,251600,255879,255881,255882,255883,255883,255885,255886,255886,255889,255890,260605,260607,260608,260610,260612,260613,260614,260615,260616,271255,271448,271449,271451,271452,271256,271444,271446,271447,286746,286747,286750,286015,286015,286742,286743,240540,240541,240544,248553,248554,248546,248549,255880,260605,260606,260607,260609,260611,260612,260615,260616,271255,271448,271449,271451,271452,271452,271256,271443,271445,271446,271447,286014,286746,286748,286750,286742,286745,240537,240538,240539,240543,248551,248553,248548,255887,255887,255888,255890,260608,260609,260610,260610,260613,260613,260614,260614,260615,271255,271449,271256,271443,271443,271444,271446,271447,286746,286749,286750,286741,286741,286742,286743,286743,286745,"," 3.5""/ 3.25""  System with PRO-M Shocks"," $	1,239.95 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
No UCA - skip UCA upgrade screen,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-shocks-k4242bx/,K4242BX,pro,,FORD F250-F350 17-22,"240535,240536,240537,240538,240539,240540,240542,248552,248554,248555,248547,248549,255879,255880,255881,255882,255884,255885,255888,260605,260607,260608,260609,260612,260616,271448,271450,271451,271444,286014,286014,286747,286747,286748,286748,286015,286741,286744,286745,240535,240536,240541,240542,240543,240544,248551,248552,248555,251599,248546,248547,248548,248550,248550,251600,255879,255881,255882,255883,255883,255885,255886,255886,255889,255890,260605,260607,260608,260610,260612,260613,260614,260615,260616,271255,271448,271449,271451,271452,271256,271444,271446,271447,286746,286747,286750,286015,286015,286742,286743,240540,240541,240544,248553,248554,248546,248549,255880,260605,260606,260607,260609,260611,260612,260615,260616,271255,271448,271449,271451,271452,271452,271256,271443,271445,271446,271447,286014,286746,286748,286750,286742,286745,240537,240538,240539,240543,248551,248553,248548,255887,255887,255888,255890,260608,260609,260610,260610,260613,260613,260614,260614,260615,271255,271449,271256,271443,271443,271444,271446,271447,286746,286749,286750,286741,286741,286742,286743,286743,286745,"," 2.5""/ 0""  System with PRO-VST 2.5"" Shocks with Front Coils and Adjustable Track Bar with Bracket"," $	1,994.94 ",8x170,17X8.5 +25MM,,37x12.5x17 LRD OR LRE,BFG35666
,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-coilovers-and-shocks-k4231bx/,K4231BX,pro,,FORD RANGER 19-22,"253330,253332,259754,271253,253331,271460,283440,283600,283601,259752,259753,271459,"," 1-2.75""/ 0""  System with PRO-VST 2.5"" Coilovers and Shocks"," $	1,884.97 ",6X5.5,17x8.5 +35MM,,285/70/17 LRC,"BFG81501, PCT42857017"
For models with Aluminum Knuckles,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-coilovers-shocks-and-upper-control-arms-k4231bxu/,K4231BXU,pro-uca,aluminum-knuckles,FORD RANGER 19-22,"253330,253332,259754,271253,253331,271460,283440,283600,283601,259752,259753,271459,"," 1-2.75""/ 0""  System with PRO-VST 2.5"" Coilovers, Shocks and Upper Control Arms"," $	2,640.96 ",6X5.5,17x8.5 +35MM,,285/70/17 LRC,"BFG81501, PCT42857017"
For models with Steel Knuckles,,https://www.procompusa.com/product-skus/2-5-lift-kit-with-vst-2-5-coilovers-shocks-and-upper-control-arms-k4234bxu/,K4234BXU,pro-uca,steel-knuckles,FORD RANGER 19-22,"253330,253332,259754,271253,253331,271460,283440,283600,283601,259752,259753,271459,"," 1-2.75""/ 0""  System with PRO-VST 2.5"" Coilovers, Shocks and Upper Control Arms"," $	2,640.96 ",6X5.5,17x8.5 +35MM,,285/70/17 LRC,"BFG81501, PCT42857017"
,,https://www.procompusa.com/product-skus/2-lift-kit-with-pro-m-shocks-k1178ms/,K1178MS,base,small-taper-ball-joints,GM 1500  14-16 (Small Taper Ball Joint),"203420,203421,203422,211060,211061,211061,211062,211062,211063,211065,211065,224859,224860,224861,224862,224862,224894,224894,224896,224896,224897,224897,224897,203418,210841,210839,211058,211059,212778,212778,212779,212779,211064,211064,224859,224860,224863,232878,224894,224897,203418,203419,203419,203420,210841,203421,210839,211058,211058,211060,211061,212779,211062,211064,224858,224863,232878,232878,203422,203423,203423,211059,211060,211063,211063,211065,224858,224858,224859,224859,224860,224860,224861,224863,224895,224895,224896,63932,63932,63933,63934,63934,277116,63935,63935,63935,63936,63937,63937,63937,70378,70379,70379,70380,70380,70470,70477,73134,73154,73155,147506,147508,147508,147511,147513,147514,147516,155817,155819,155821,155823,155830,155830,155834,191164,191165,191166,191182,191186,193868,193881,193882,193882,193883,63932,63933,63933,63934,63936,206694,70378,70378,70379,70380,70477,70478,70479,70479,73134,73134,73135,73135,73135,73136,73136,73137,73155,73157,73157,73157,73158,206702,147505,147506,147508,147511,147512,147512,147513,206704,155817,155817,155824,155826,155828,155828,155830,155834,155835,63932,63934,63935,63936,63937,191162,191163,191163,191165,191165,191184,191186,191187,193869,193870,193871,193871,193881,193883,201399,70378,70380,70477,70477,70478,70478,70479,70479,73134,73155,73155,147507,147507,147510,155819,155819,155821,155832,155832,193368,191164,191183,191185,191186,193247,193869,193870,193872,193872,193880,193882,193884,277115,70381,206700,73135,73136,73136,73138,73157,73158,73158,73158,73160,147504,147505,147506,147509,147512,147514,147514,155815,155823,155823,155834,191161,191162,191163,191183,191184,191184,191185,193870,193872,193873,193884,193884,193885,"," 0.5-2.63""/ 0""  System with PRO-M Shocks", $	399.96 ,6X5.5,17X8.5 +25MM,"MR305785601025, MR30578560525, MR30578560325, MR30578560925",285/70/17 LRC,"BFG81501, PCT42857017"
