part_number,display_name,price,image
BFG08806,"BF Goodrich 315/70R17 Tire, All-Terrain T/A KO2 - 08806",$403.99,https://images.procompusa.com/sku/BF%20Goodrich%20Tires/400x400/BFG_KO2Tire_01.jpg
BFG29668,"BF Goodrich LT265/70R17 Tire, All-Terrain T/A KO2 - 29668",$280.99,https://images.procompusa.com/sku/BF%20Goodrich%20Tires/400x400/BFG_KO2Tire_01.jpg
BFG35666,"BF Goodrich 37x12.50R17 Tire, All-Terrain T/A KO2 - 35666",$466.99,https://images.procompusa.com/sku/BF%20Goodrich%20Tires/400x400/BFG_KO2Tire_01.jpg
BFG66255,"BF Goodrich LT265/70R17 Tire, All-Terrain T/A KO2 - 66255",$281.99,https://images.procompusa.com/sku/BF%20Goodrich%20Tires/400x400/BFG_KO2Tire_01.jpg
BFG81501,"BF Goodrich 285/70R17 Tire, All-Terrain T/A KO2 - 81501",$312.99,https://images.procompusa.com/sku/BF%20Goodrich%20Tires/400x400/BFG_KO2Tire_01.jpg
PCT42657017,"Pro Comp LT265/70R17 Tire, A/T Sport - 42657017",$243.99,https://images.procompusa.com/sku/Pro%20Comp%20Tires/400x400/PCT42857017_01.jpg
PCT42857017,"Pro Comp LT285/70R17 Tire, A/T Sport - 42857017",$264.99,https://images.procompusa.com/sku/Pro%20Comp%20Tires/400x400/PCT42857017_01.jpg
PCT43157017,"Pro Comp LT315/70R17 Tire, A/T Sport - 43157017",$314.99,https://images.procompusa.com/sku/Pro%20Comp%20Tires/400x400/PCT42857017_01.jpg
