ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,"Product Categories",Status,Slug,Order,"Comment Status","Ping Status","Post Modified Date","Product Group ID","Product Group Name","Category ID","Category Name","Subcategory ID","Subcategory Name","Part Type ID","Part Type Name","SubPart ID","SupPart Name","Long Description","Sales Description","Product Categories"
21917,"Pro Comp Tail Shaft Conversion Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-tail-shaft-conversion-kits/,,,,,,,,"Suspension>Axle Parts",publish,pro-comp-tail-shaft-conversion-kits,0,open,open,"2021-06-29 11:32:20",9454,"Pro Comp Tail Shaft Conversion Kits",4wp-us-C12,"Drivetrain & Differential",4wp-us-SC512,"Transfer Case Upgrades & Crawl Boxes",4wp-us-14118,"Transfer Case Slip Yoke Eliminator Kits and Hardware",,,"For NP231 transfer case only;20% Larger mainshaft over factory shaft;4 inch shorter than stock;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","The Tail Shaft Conversion kit for 5 Front/Rear lift height shortens the Transfer Case allowing for a 4 inch longer CV Style drive shaft, improves driveline alignment, reduces bind, friction and vibration. drive shaft sold separately. Fits NP231 Transfer Case Only. Will not fit NP207 in some models.","Suspension>Axle Parts"
21918,"Pro Comp 4 Link Conversion Kits",,,"2021-06-18 20:33:56",product-group,http://transamericanautoparts.local/products/pro-comp-4-link-conversion-kits/,,,,,,,,"Suspension>Axle Parts",publish,pro-comp-4-link-conversion-kits,0,open,open,"2021-06-29 11:37:58",prod1690003,"Pro Comp 4 Link Conversion Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC101,"Suspension Accessories",cat1450067,"Axle Truss Bolt-On",,,,,"Suspension>Axle Parts"
21919,"Pro Comp Heim Joint Rebuild Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-heim-joint-rebuild-kits/,,,,,,,,"Suspension>Tools &amp; Kits",publish,pro-comp-heim-joint-rebuild-kits,0,open,open,"2021-06-29 11:25:05",25868,"Pro Comp Heim Joint Rebuild Kits",4wp-us-C86,"Fabrication & Tools",4wp-us-SC528,"Flex Joints, Rod Ends & Jam Nuts",4wp-us-18804,"Heim Joint Rebuild Kits",,,"Pro Comp Heim Joint Rebuild Kit rebuilds 1 control arm ball joint per kit;A special kit is required for installation;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""",,"Suspension>Tools &amp; Kits"
21921,"Pro Comp Air Down Gauges",,,"2021-06-18 20:34:09",product-group,http://transamericanautoparts.local/products/pro-comp-air-down-gauges/,,,,,,,,"Wheels>Tire &amp; Wheel Accessories",publish,pro-comp-air-down-gauges,0,open,open,"2021-06-29 11:39:02",9316,"Pro Comp Air Down Gauges",4wp-us-C11,"Tires & Wheels",4wp-us-SC107,"Tire & Wheel Accessories",4wp-us-10507,"Tire Valve Deflator",,,"0-60 lbs;Allows for quick and accurate deflation;Built-in automatic bleeder valve;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""",,"Wheels>Tire &amp; Wheel Accessories"
21922,"Pro Comp Suspension Torsion Key Unloading Tools",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-suspension-torsion-key-unloading-tools/,,,,,,,,"Suspension>Tools &amp; Kits",publish,pro-comp-suspension-torsion-key-unloading-tools,0,open,open,"2021-06-29 11:27:26",9508,"Pro Comp Suspension Torsion Key Unloading Tools",4wp-us-C86,"Fabrication & Tools",4wp-us-SC530,"Specialty Tools",4wp-us-13614,"Torsion Key Unloading Tool",,,"Torsion Key Unloading Tool; Puller Style;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","This rugged tools help with the extreme loads produced by the larger torsion bar on your heavy-duty rig and let you safely load and unload torsion keys.","Suspension>Tools &amp; Kits"
21923,"Pro Comp Pro Runner Performance Fenders",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-pro-runner-performance-fenders/,,,,,,,,DISCO>DISCO,publish,pro-comp-pro-runner-performance-fenders,0,open,open,"2021-06-29 11:36:36",9458,"Pro Comp Pro Runner Performance Fenders",4wp-us-C80,"Fenders & Flares",cat1130171,"Tube Fenders",,,,,"Front or Rear ; For Use w/PN EXPK5150B Performance Long Travel Kit;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","For the Pro Comps Long Travel kit",DISCO>DISCO
21925,"Pro Comp Leaf Spring Bushing Sets",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-leaf-spring-bushing-sets/,,,,,,,,"Suspension>Body Lifts &amp; Bushings",publish,pro-comp-leaf-spring-bushing-sets,0,open,open,"2021-06-29 11:31:58",9443,"Pro Comp Leaf Spring Bushing Sets",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC20,"Body Lifts & Bushings",4wp-us-7488,"Leaf Spring Bushings & Pads",,,"Spring Bushing Kit;Complete Bushing Kit;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Spring bushing replacement kits make it easy to replace damaged or worn out bushings in Pro Comp leaf springs.","Suspension>Body Lifts &amp; Bushings"
21926,"Pro Comp Shock Absorber Bushings",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-shock-absorber-bushings/,,,,,,,,"Suspension>Body Lifts &amp; Bushings",publish,pro-comp-shock-absorber-bushings,0,open,open,"2021-06-29 11:32:20",9493,"Pro Comp Shock Absorber Bushings",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-SC20,"Body Lifts & Bushings",4wp-us-10885,"Shock Absorber Bushing",,,"Shock Absorber Bushing; Standard Hourglass;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Procomp's Polyurethane shock bushings are superior to stock shock bushings.Have some shocks that are still good but have blown out bushings? Look no further,Pro Comp's Polyurethane shock bushings are your solution.","Suspension>Body Lifts &amp; Bushings"
21927,"Pro Comp Basic Lift Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-basic-lift-kits/,,,,,,,,"Suspension>Lift Kits",publish,pro-comp-basic-lift-kits,0,open,open,"2021-06-29 11:27:37",9345,"Pro Comp Basic Lift Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-18833,"Complete Suspension Systems and Lift Kits",,,,,"Pro Comps Entry Level Lift Kit;Kits typically include coil springs or spacers and shocks;Installation hardware included;Multiple Lift Kits for Jeeps available;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Pro Comp is the fastest, safest, least expensive way to bring the front of your Vehicle level with the rear. This gives you the clearance and ability to add wheels and tires up to 35 inch in dia. Pro Comp products do not affect the factory OEM ride quality or comfort. Thats why Pro Comp also offers a lifetime warranty for as long as you own your vehicle against defects for all of our products.","Suspension>Lift Kits"
21928,"Pro Comp Pro Runner Performance Lift Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-pro-runner-performance-lift-kits/,,,,,,,,"Suspension>Lift Kits",publish,pro-comp-pro-runner-performance-lift-kits,0,open,open,"2021-06-29 11:36:35",9459,"Pro Comp Pro Runner Performance Lift Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-18833,"Complete Suspension Systems and Lift Kits",,,,,"Pro Runner Performance Suspension System;Installation Hardware Included;Available with either our Pro Runner Black Series Coilovers or legendary Pro Runner Monotube Shocks;Multiple Lift Kits for Jeeps available;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Pro Comp is raising the bar with our all new Pro Runner Performance kits! These kits off unparalleled performance at a price that cant be ignored. Available with either our Pro Runner Black Series Coilovers/Shocks or our legenday Pro Runner Monotube Shocks, you will feel the improvement immediately. As always, these kits are covered by the Pro Comp Promise Warranty, and will give you years of worry-free performance at a price you can afford.","Suspension>Lift Kits"
21929,"Pro Comp Stage III Lift Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-stage-iii-lift-kits/,,,,,,,,"Suspension>Lift Kits",publish,pro-comp-stage-iii-lift-kits,0,open,open,"2021-06-29 11:31:55",prod1530024,"Pro Comp Stage III Lift Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-18833,"Complete Suspension Systems and Lift Kits",,,,,,"Pro Comp' s New Stage III 4-Link Suspension Systems for the 2017-18 Super Duty  feature 4-Link control arms, laser cut brackets and a drop pitman arm to maintain proper suspension and steering geometry. Specific rate coil springs increase ride height and give your truck an aggressive look as well as improve ride quality.  Available with several different shock options to fit your off-road, on-road needs.","Suspension>Lift Kits"
21930,"Pro Comp Stage I Lift Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-stage-i-lift-kits/,,,,,,,,"Suspension>Lift Kits",publish,pro-comp-stage-i-lift-kits,0,open,open,"2021-06-29 11:34:42",9387,"Pro Comp Stage I Lift Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-18833,"Complete Suspension Systems and Lift Kits",,,,,"Stage 1 Lift kits usually include Coil Springs or Spacers based on application;Includes shocks in most application;Usually upgradeable to Stage 2 with a few additions;Multiple Lift Kits for Jeeps available;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Pro Comp is driven by genuine off road enthusiasts. Pro Comp Suspension Products reflect customer-driven, racing influenced technology and engineering with a focus on world-class manufacturing processes and techniques. When it comes to your vehicle's handling, look and performance, we know you don't make compromises and either do we. From the middle of downtown to the middle of nowhere Pro Comp will get you there and back.","Suspension>Lift Kits"
21931,"Pro Comp Long Arm Lift Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-long-arm-lift-kits/,,,,,,,,"Suspension>Lift Kits",publish,pro-comp-long-arm-lift-kits,0,open,open,"2021-06-29 11:34:42",9383,"Pro Comp Long Arm Lift Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-18833,"Complete Suspension Systems and Lift Kits",,,,,"4 Inch Long Arm Lift Kit;Installation Hardware Included;Systems do not effect the factory suspension or steering geometry, thus maintaining OEM ride characteristics;Multiple Lift Kits for Jeeps available;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","A fast, safe, and affordable way to deliver the additional clearance needed for larger wheel and tire combinations. Systems do not effect the factory suspension or steering geomerty, thus maintaining OEM ride characteristics. Consists of front and rear Pro Runner shocks, and other replacement components that will fit the new specifications of your Jeep. This complete suspension lift system improves handling and helps achieve the right height, clearance and attitude for your vehicle.","Suspension>Lift Kits"
21932,"Pro Comp Stage II Lift Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-stage-ii-lift-kits/,,,,,,,,"Suspension>Lift Kits",publish,pro-comp-stage-ii-lift-kits,0,open,open,"2021-06-29 11:34:42",9388,"Pro Comp Stage II Lift Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-18833,"Complete Suspension Systems and Lift Kits",,,,,"Stage 2 Lift Kits usually include most available upgrades short of long arm kits;tubular or boxed control arms and brake lines are usually standard issues;most kits include the best riding coils short of a coilover conversion;Multiple Lift Kits for Jeeps available;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Pro Comp is driven by genuine off road enthusiasts. Pro Comp Suspension Products reflect customer-driven, racing influenced technology and engineering with a focus on world-class manufacturing processes and techniques. When it comes to your vehicle's handling, look and performance, we know you don't make compromises and either do we. From the middle of downtown to the middle of nowhere Pro Comp will get you there and back.","Suspension>Lift Kits"
21933,"Pro Comp Suspension Coil Spring Conversion Lift Kits",,,"2021-06-18 20:33:46",product-group,http://transamericanautoparts.local/products/pro-comp-suspension-coil-spring-conversion-lift-kits/,,,,,,,,"Suspension>Lift Kits",publish,pro-comp-suspension-coil-spring-conversion-lift-kits,0,open,open,"2021-06-29 11:34:42",9389,"Pro Comp Suspension Coil Spring Conversion Lift Kits",cat1120291,"Lift Kits, Suspension & Shocks",4wp-us-18833,"Complete Suspension Systems and Lift Kits",,,,,"5 inch Coil Spring Conversion Lift Kit;Installation Hardware Included;Includes Coil Springs, Control Arms, Front Sway Bar Links, Pitman Arm and Extended Brake Lines;Multiple Lift Kits for Jeeps available;<b>California Residents: <a href=/prop65"" target=""_blank"">WARNING</a></b>""","Pro Comp is driven by genuine off road enthusiasts. Pro Comp Suspension Products reflect customer-driven, racing influenced technology and engineering with a focus on world-class manufacturing processes and techniques. When it comes to your vehicles handling, look and performance, we know you dont make compromises and either do we. From the middle of downtown to the middle of nowhere Pro Comp will get you there and back.","Suspension>Lift Kits"
